name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,72,60,72,60,72,0.0,65,80,-8.96551724137931,2023-09-26
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,50,55,0.0,52,62,-7.894736842105263,2023-09-26
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,48,50,0.0,46,52,0.0,2023-09-26
আটা সাদা (খোলা),প্রতি কেজি,42,45,42,45,48,50,-11.224489795918368,50,55,-17.142857142857142,2023-09-26
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,54,60,54,60,55,60,-0.8695652173913043,55,58,0.8849557522123894,2023-09-26
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60,62,-5.737704918032787,2023-09-26
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,60,65,60,65,65,70,-7.4074074074074066,65,75,-10.714285714285714,2023-09-26
সয়াবিন তেল (লুজ),প্রতি লিটার,155,160,155,160,155,160,0.0,170,175,-8.695652173913043,2023-09-26
সয়াবিন তেল (বোতল),৫ লিটার,780,830,780,850,810,850,-3.0120481927710845,925,945,-13.903743315508022,2023-09-26
সয়াবিন তেল (বোতল),১ লিটার,169,175,170,175,170,175,-0.2898550724637681,185,192,-8.753315649867375,2023-09-26
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,125,130,0.0,126,135,-2.2988505747126435,2023-09-26
পাম অয়েল (সুপার),প্রতি লিটার,0,0,0,0,0,0,,145,150,-100.0,2023-09-26
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,95,100,10.256410256410255,90,100,13.157894736842104,2023-09-26
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,115,120,0.0,2023-09-26
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,125,135,1.9230769230769231,125,130,3.92156862745098,2023-09-26
